postal_code,rooms,area,garden_area,price
8200,3,72,0,295000
8200,2,49,0,193500
8200,2,50,0,199000
8490,3,71,0,254800
8490,2,53,0,198800
8490,3,73,0,256800
8490,3,70,0,297750
6330,4,97,0,0
6330,3,81,0,0
1140,2,46,0,230900
1130,2,60,0,469000
1220,4,143,0,799000
1220,4,132,0,749000
1030,3,78,0,501000
1130,2,46,0,375000
1130,3,65,0,715000
1110,4,98,0,429000
4050,0,100,0,0
6300,4,94,0,590000
8940,4,114,0,495000
8940,4,114,0,495000
2431,4,99,0,355000
9811,3,97,0,375000
1010,3,135,0,1950000
4866,0,70,0,335000
1170,4,114,0,1109000
1170,4,120,0,1199000
1170,4,135,0,1199000
1170,3,117,0,1109000
1170,5,223,0,2490000
1170,4,169,0,1770000
1170,6,233,0,2358000
1170,6,245,0,2358000
2481,4,112,0,425860
1220,2,49,0,2690001
1220,3,66,0,349000
1220,3,77,0,39900001
1220,2,47,0,269001
1220,3,68,0,369000
1220,2,54,0,289000
2081,3,65,0,89000
5061,4,172,0,2450000
1220,2,47,0,3029481
1220,2,49,0,3029481
1220,3,66,0,38178105
1220,3,66,0,3817811
1220,2,47,0,30294815
1220,2,53,0,30294815
1220,3,66,0,3930441
1220,3,95,0,5968861
1220,2,51,0,3209671
1220,2,51,0,3142101
1220,3,67,0,4380921
1220,2,59,0,3209671
1220,2,49,0,3029481
1220,2,55,0,3209671
1220,2,47,0,3029481
1220,3,76,0,4268301
1220,3,68,0,4155681
1220,2,48,0,3142101
1220,2,47,0,31421011
1220,2,50,0,3367341
1220,2,66,0,4380921
1220,3,88,0,5180521
1220,2,84,0,4493541
1220,3,95,0,5056641
1220,2,52,0,3705201
1220,3,60,0,3817821
1220,2,62,0,3085791
1220,2,53,0,2984431
1220,3,76,0,4268301
1220,2,72,0,4110631
1220,2,44,0,3142101
1220,2,47,0,3029481
1220,2,74,0,4493541
1220,2,42,0,3029481
1220,2,76,0,4493541
1220,2,48,0,3029481
1220,2,54,0,3254721
1220,2,49,0,3142101
1220,2,65,0,3367341
1220,3,66,0,377275
1220,2,47,0,31421001
1220,23,46,0,0
1220,3,78,0,722000
1220,23,46,0,0
1220,2,87,0,549000
1120,1,0,0,253500
1120,3,103,0,748400
1120,2,85,0,520400
1120,1,0,0,353300
6130,3,83,0,520000
8020,12,35,0,0
6200,3,60,0,321000
2551,5,170,600,599000
2522,8,760,1702,4000000
6150,4,92,0,571330
6150,6,137,0,835150
1030,3,88,0,696000
1030,2,64,0,460000
1030,4,146,0,1214000
3150,0,377,0,0
1220,235,47,0,0
6444,3,89,0,381000
3100,2,44,0,173000
2100,2,39,0,188900
3100,4,90,0,385000
3100,2,44,0,179030
3100,3,67,0,267000
1170,3,72,0,380000
1170,3,72,0,380000
1170,3,72,0,380000
8054,3,77,0,339900
8020,2,41,0,174800
1040,0,245,0,0
1050,5,159,0,989900
6166,0,635,0,0
6166,3,101,0,585560
6166,3,81,0,453509
6166,5,101,0,571542
5084,3,119,0,642000
5230,4,75,0,286000
5084,4,110,0,739000
5084,4,101,0,694000
5230,34,70,0,0
5230,3,70,0,298000
5230,3,75,0,296000
5230,4,98,0,398000
5230,3,74,0,336000
5230,4,97,0,394000
5230,3,75,0,334000
2433,0,1999,0,750000
1180,4,151,0,1795000
2340,2,74,0,449000
1230,2,52,0,316000
1230,4,89,0,624300
1230,2,42,0,345700
1230,3,78,0,482500
1230,2,56,0,311500
8075,3,69,0,3164988
1140,4,124,0,8455168
1140,4,124,0,7728552
1160,33,85,0,0
1180,12,23,0,0
1180,2,68,0,690000
1050,2,54,0,329000
1080,3,135,0,1745520
1160,2,42,0,22919339
1160,3,46,0,24405804
3004,4,106,51,41395811
3004,4,106,82,41556113
3004,4,106,45,41331102
3004,4,106,101,41693094
1100,1,31,0,158000
1100,1,48,0,243000
8521,0,38532,0,390000
3021,7,280,0,0
2353,3,74,0,427620
2353,3,85,0,482800
2353,3,72,0,399787
2353,3,95,0,539600
2353,3,95,0,545300
2353,3,54,0,321165
2353,4,99,0,513675
6068,35,78,0,450000
6212,0,500,0,4700000
1210,2,52,0,250000
1210,2,60,0,304000
1210,3,81,0,390000
1210,4,99,0,457000
1210,3,79,0,371000
1100,0,5353,0,535400
8350,4,120,0,155000
7021,35,76,0,80000
7053,4,93,0,179000
9771,35,81,0,275000
4320,8,160,0,220000
9500,125,310,0,455000
2000,3,89,0,283000
1130,2,44,0,283000
1100,25,52,0,215000
1100,25,52,0,219000
8051,3,69,0,245728
1130,3,88,0,450000
8074,0,1513,0,498000
1190,18,58,0,0
2700,1,29,0,75000
1130,3,139,0,890000
2361,4,114,0,325000
2201,5,143,0,548000
1140,0,6592,0,0
6335,3,88,0,420000
2231,8,148,0,0
8020,1,47,0,144900
3830,12,280,0,398000
1110,1,60,0,355000
2304,4,3588,0,580000
2115,0,750,0,225000
7100,4,127,200,560000
2100,3,60,0,179000
8323,4,127,0,527507
1210,3,82,0,436400
1210,3,82,0,436400
1210,3,82,0,436400
8054,2,48,0,201635
6900,34,81,0,0
2103,2,58,0,277900
2103,2,59,0,280900
2103,2,58,0,290000
2103,2,60,0,306600
2103,3,78,0,388900
2103,3,78,0,388900
2103,3,78,0,388900
1170,35,90,0,800000
1170,3,69,0,515000
1160,35,82,0,355000
1210,4,101,0,522000
1120,2,61,0,299000
6133,4,80,0,459000
4223,3,70,0,329000
4209,3,70,0,329000
1200,4,96,0,549000
1170,4,94,0,856000
1170,4,108,0,1283000
1170,4,90,0,835000
1170,3,68,0,548000
1170,4,105,0,1253000
2353,3,65,0,384300
2353,2,45,0,279000
2353,3,76,0,433500
3200,4,96,0,269000
4030,3,72,0,215000
1130,0,136,0,750000
3200,3,81,0,236600
6404,2,49,0,300000
2380,0,2813,0,2300000
8020,4,68,0,165000
8401,3,70,0,220370
1220,3,54,0,238560
2202,4,156,104,530000
9587,5,235,0,0
1210,2,68,0,229000
6370,0,0,0,2200000
2202,4,154,97,470000
2340,2,55,0,305000
2542,3,71,0,297000
1060,3,94,0,469900
2100,4,97,0,619569
2100,2,56,0,396409
2100,2,56,0,462288
2100,4,97,0,593107
2100,2,42,0,285551
2100,2,56,0,439960
2100,4,170,0,1574890
2100,4,97,0,619792
2100,4,97,0,621702
2100,4,97,0,592416
2100,1,28,0,15196827
2100,4,149,0,1900000
1220,3,73,0,330390
2100,4,97,0,577284
2100,2,42,0,279236
2100,4,141,0,1900000
2100,4,97,0,577020
2100,4,97,0,577243
2100,4,97,0,592992
2100,2,41,0,280408
2100,4,97,0,619822
2100,4,97,0,594806
1220,4,100,0,495000
1220,2,50,0,235560
2100,1,28,0,145032
2100,1,28,0,14548397
2100,3,59,0,33277082
2100,3,58,0,33277082
2100,1,38,0,20541635
2100,3,58,0,32733567
2100,1,29,0,14775712
2100,1,38,0,20696092
2100,1,38,0,20707749
2100,1,28,0,128685
2100,1,28,0,144536
1180,15,689,1000,0
2100,1,29,0,14775712
2100,3,58,0,32857424
1110,3,75,0,495000
1110,2,52,0,365000
1110,3,77,0,495000
